"filename", "language", "JavaScript", "Vue", "JSON", "Stylus", "Markdown", "comment", "blank", "total"
"/Users/minchao/development/docs/blog-docs/.vuepress/config.js", "JavaScript", 72, 0, 0, 0, 0, 26, 4, 102
"/Users/minchao/development/docs/blog-docs/.vuepress/public/scripts/universe.js", "JavaScript", 98, 0, 0, 0, 0, 9, 18, 125
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/README.md", "Markdown", 0, 0, 0, 0, 60, 0, 29, 89
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/components/AlgoliaSearchBox.vue", "Vue", 0, 160, 0, 0, 0, 1, 10, 171
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/components/Common.vue", "Vue", 0, 227, 0, 0, 0, 1, 30, 258
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/components/DropdownLink.vue", "Vue", 0, 168, 0, 0, 0, 3, 13, 184
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/components/DropdownTransition.vue", "Vue", 0, 27, 0, 0, 0, 1, 6, 34
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/components/Footer.vue", "Vue", 0, 91, 0, 0, 0, 0, 5, 96
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/components/FriendLink.vue", "Vue", 0, 221, 0, 0, 0, 0, 7, 228
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/components/HomeBlog.vue", "Vue", 0, 452, 0, 0, 0, 14, 69, 535
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/components/MobShare.vue", "Vue", 0, 27, 0, 0, 0, 0, 4, 31
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/components/Mode/ModePicker.vue", "Vue", 0, 90, 0, 0, 0, 4, 9, 103
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/components/Mode/applyMode.js", "JavaScript", 27, 0, 0, 0, 0, 5, 8, 40
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/components/Mode/index.vue", "Vue", 0, 99, 0, 0, 0, 3, 14, 116
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/components/Mode/modeOptions.js", "JavaScript", 43, 0, 0, 0, 0, 0, 2, 45
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/components/ModuleTransition.vue", "Vue", 0, 41, 0, 0, 0, 0, 5, 46
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/components/NavLink.vue", "Vue", 0, 47, 0, 0, 0, 0, 6, 53
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/components/NavLinks.vue", "Vue", 0, 167, 0, 0, 0, 4, 17, 188
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/components/Navbar.vue", "Vue", 0, 133, 0, 0, 0, 2, 18, 153
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/components/NoteAbstract.vue", "Vue", 0, 28, 0, 0, 0, 0, 4, 32
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/components/NoteAbstractItem.vue", "Vue", 0, 89, 0, 0, 0, 0, 3, 92
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/components/Page.vue", "Vue", 0, 286, 0, 0, 0, 1, 27, 314
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/components/PageInfo.vue", "Vue", 0, 103, 0, 0, 0, 8, 4, 115
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/components/Password.vue", "Vue", 0, 315, 0, 0, 0, 0, 13, 328
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/components/PersonalInfo.vue", "Vue", 0, 74, 0, 0, 0, 0, 3, 77
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/components/SearchBox.vue", "Vue", 0, 233, 0, 0, 0, 3, 3, 239
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/components/Sidebar.vue", "Vue", 0, 63, 0, 0, 0, 0, 7, 70
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/components/SidebarButton.vue", "Vue", 0, 25, 0, 0, 0, 0, 3, 28
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/components/SidebarGroup.vue", "Vue", 0, 122, 0, 0, 0, 2, 8, 132
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/components/SidebarLink.vue", "Vue", 0, 73, 0, 0, 0, 16, 9, 98
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/components/SidebarLinks.vue", "Vue", 0, 120, 0, 0, 0, 4, 18, 142
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/components/SubSidebar.vue", "Vue", 0, 69, 0, 0, 0, 0, 5, 74
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/components/TagList.vue", "Vue", 0, 54, 0, 0, 0, 0, 5, 59
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/components/mcicon.vue", "Vue", 0, 205, 0, 0, 0, 0, 2, 207
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/components/universe.vue", "Vue", 0, 110, 0, 0, 0, 5, 19, 134
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/enhanceApp.js", "JavaScript", 26, 0, 0, 0, 0, 0, 5, 31
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/global-components/Badge.vue", "Vue", 0, 44, 0, 0, 0, 0, 2, 46
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/helpers/other.js", "JavaScript", 24, 0, 0, 0, 0, 0, 3, 27
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/helpers/postData.js", "JavaScript", 35, 0, 0, 0, 0, 3, 4, 42
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/helpers/utils.js", "JavaScript", 200, 0, 0, 0, 0, 21, 33, 254
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/index.js", "JavaScript", 94, 0, 0, 0, 0, 2, 3, 99
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/layouts/404.vue", "Vue", 0, 61, 0, 0, 0, 1, 8, 70
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/layouts/Category.vue", "Vue", 0, 152, 0, 0, 0, 4, 13, 169
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/layouts/Layout.vue", "Vue", 0, 35, 0, 0, 0, 0, 4, 39
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/layouts/Tag.vue", "Vue", 0, 97, 0, 0, 0, 3, 13, 113
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/layouts/Tags.vue", "Vue", 0, 90, 0, 0, 0, 0, 14, 104
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/layouts/TimeLines.vue", "Vue", 0, 235, 0, 0, 0, 108, 44, 387
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/lib/vuepress-theme-reco.js", "JavaScript", 4, 0, 0, 0, 0, 1, 3, 8
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/locales/en.js", "JavaScript", 11, 0, 0, 0, 0, 0, 1, 12
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/locales/index.js", "JavaScript", 6, 0, 0, 0, 0, 0, 2, 8
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/locales/ja.js", "JavaScript", 11, 0, 0, 0, 0, 0, 1, 12
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/locales/ko.js", "JavaScript", 11, 0, 0, 0, 0, 0, 1, 12
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/locales/zh-hans.js", "JavaScript", 11, 0, 0, 0, 0, 0, 1, 12
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/locales/zh-hant.js", "JavaScript", 11, 0, 0, 0, 0, 0, 1, 12
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/mixins/locales.js", "JavaScript", 21, 0, 0, 0, 0, 0, 3, 24
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/mixins/moduleTransiton.js", "JavaScript", 13, 0, 0, 0, 0, 0, 1, 14
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/mixins/pagination.js", "JavaScript", 17, 0, 0, 0, 0, 2, 3, 22
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/mixins/posts.js", "JavaScript", 62, 0, 0, 0, 0, 0, 10, 72
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/noopModule.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 2
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/package.json", "JSON", 0, 0, 63, 0, 0, 0, 1, 64
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/styles/arrow.styl", "Stylus", 0, 0, 0, 21, 0, 0, 2, 23
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/styles/code.styl", "Stylus", 0, 0, 0, 122, 0, 0, 14, 136
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/styles/custom-blocks.styl", "Stylus", 0, 0, 0, 51, 0, 0, 1, 52
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/styles/mobile.styl", "Stylus", 0, 0, 0, 31, 0, 4, 5, 40
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/styles/mode.styl", "Stylus", 0, 0, 0, 38, 0, 0, 1, 39
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/styles/palette.styl", "Stylus", 0, 0, 0, 47, 0, 0, 12, 59
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/styles/theme.styl", "Stylus", 0, 0, 0, 196, 0, 5, 37, 238
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/styles/toc.styl", "Stylus", 0, 0, 0, 3, 0, 0, 1, 4
"/Users/minchao/development/docs/blog-docs/.vuepress/theme/styles/wrapper.styl", "Stylus", 0, 0, 0, 8, 0, 0, 2, 10
"/Users/minchao/development/docs/blog-docs/README.md", "Markdown", 0, 0, 0, 0, 16, 0, 9, 25
"/Users/minchao/development/docs/blog-docs/blogs/前端/2015/2015-05-18-CSS-Base.md", "Markdown", 0, 0, 0, 0, 185, 2, 92, 279
"/Users/minchao/development/docs/blog-docs/blogs/前端/2015/2015-05-18-learn-main-path.md", "Markdown", 0, 0, 0, 0, 55, 0, 24, 79
"/Users/minchao/development/docs/blog-docs/blogs/前端/2015/2015-06-20-CSS3-stransition-and-animation.md", "Markdown", 0, 0, 0, 0, 234, 0, 70, 304
"/Users/minchao/development/docs/blog-docs/blogs/前端/2015/2015-06-20-HTML-and-CSS-Base.md", "Markdown", 0, 0, 0, 0, 212, 17, 63, 292
"/Users/minchao/development/docs/blog-docs/blogs/前端/2015/2015-08-10-java-upload-img.md", "Markdown", 0, 0, 0, 0, 207, 1, 31, 239
"/Users/minchao/development/docs/blog-docs/blogs/前端/2015/2015-10-10-CSS3-Position-And-media.md", "Markdown", 0, 0, 0, 0, 70, 0, 41, 111
"/Users/minchao/development/docs/blog-docs/blogs/前端/2015/2015-10-11-CSS-clearfix.md", "Markdown", 0, 0, 0, 0, 310, 0, 49, 359
"/Users/minchao/development/docs/blog-docs/blogs/前端/2015/2015-11-12-h5web-learn.md", "Markdown", 0, 0, 0, 0, 358, 0, 122, 480
"/Users/minchao/development/docs/blog-docs/blogs/前端/2015/2015-12-10-border-and-background.markdown", "Markdown", 0, 0, 0, 0, 105, 0, 34, 139
"/Users/minchao/development/docs/blog-docs/blogs/前端/2015/2015-12-11-flex-layout.markdown", "Markdown", 0, 0, 0, 0, 194, 0, 91, 285
"/Users/minchao/development/docs/blog-docs/blogs/前端/2015/2015-12-14-gradual-change.md", "Markdown", 0, 0, 0, 0, 220, 0, 58, 278
"/Users/minchao/development/docs/blog-docs/blogs/前端/2015/2015-12-15-font-and-text.markdown", "Markdown", 0, 0, 0, 0, 125, 0, 61, 186
"/Users/minchao/development/docs/blog-docs/blogs/前端/2018/2018-09-12-chonggou.md", "Markdown", 0, 0, 0, 0, 42, 0, 36, 78
"/Users/minchao/development/docs/blog-docs/blogs/前端/2019/2019-05-12-JavaScript-interview.md", "Markdown", 0, 0, 0, 0, 241, 0, 85, 326
"/Users/minchao/development/docs/blog-docs/blogs/后端/2015/2015-10-11-linux.md", "Markdown", 0, 0, 0, 0, 86, 0, 66, 152
"/Users/minchao/development/docs/blog-docs/docs/mcf-cli/README.md", "Markdown", 0, 0, 0, 0, 10, 0, 5, 15
"/Users/minchao/development/docs/blog-docs/docs/mch-ui/README.md", "Markdown", 0, 0, 0, 0, 24, 0, 10, 34
"/Users/minchao/development/docs/blog-docs/docs/mch-ui/字体图标.md", "Markdown", 0, 0, 0, 0, 213, 0, 6, 219
"/Users/minchao/development/docs/blog-docs/docs/mch-ui/布局.md", "Markdown", 0, 0, 0, 0, 299, 0, 8, 307
"/Users/minchao/development/docs/blog-docs/docs/mch-ui/按钮.md", "Markdown", 0, 0, 0, 0, 143, 0, 85, 228
"/Users/minchao/development/docs/blog-docs/package-lock.json", "JSON", 0, 0, 12763, 0, 0, 0, 1, 12764
"/Users/minchao/development/docs/blog-docs/package.json", "JSON", 0, 0, 19, 0, 0, 0, 1, 20
"Total", "-", 798, 4633, 12845, 517, 3409, 286, 1705, 24193